"","Date_Hour","ID","temp","humidity","Latitude","Longitude","Pressure","PM1.0","PM2.5","PM10.0","PM2.5ATM","corrected_PM2.5","t1","logPM2.5"
"289826","2019-01-15 21:00:00",15845,53.2727272727273,67.0909090909091,38.722176,-120.770706,927.264090909091,0.242954545454545,0.393636363636364,0.269318181818182,0.393636363636364,0.21012,14.875,-1.56007648289638
"290564","2019-01-15 22:00:00",15845,54.0444444444444,68.0444444444445,38.722176,-120.770706,929.059756097561,0.249723577235772,0.210349593495935,0.29660433604336,0.210349593495935,0.0328365203252021,14.9166666666667,-3.41621395844058
"291285","2019-01-15 23:00:00",15845,54.8444444444444,66.9555555555555,38.722176,-120.770706,929.994888888889,0.167222222222222,0.170777777777778,0.304222222222222,0.170777777777778,0.104874222222223,14.9583333333333,-2.25499353045852
"273775","2019-01-15 00:00:00",8056,57.3333333333333,53,38.352535,-120.7672,969.239777777778,1.53155555555556,2.292,2.59466666666667,2.292,2.405408,14,0.877719535739019
"274600","2019-01-15 01:00:00",8056,55.5555555555556,53.8666666666667,38.352535,-120.7672,969.261555555556,1.15366666666667,1.80733333333333,2.084,1.80733333333333,2.07760266666667,14.0416666666667,0.73121466489786
"275419","2019-01-15 02:00:00",8056,53.8888888888889,53.7555555555556,38.352535,-120.7672,969.346136363636,0.974515151515152,1.61443939393939,1.90943434343434,1.61443939393939,1.98599290909091,14.0833333333333,0.686118995168928
"276232","2019-01-15 03:00:00",8056,54.9777777777778,53.7555555555556,38.352535,-120.7672,969.229777777778,0.645777777777778,1.10622222222222,1.29544444444444,1.10622222222222,1.71968711111111,14.125,0.542142362132637
"277040","2019-01-15 04:00:00",8056,56.9555555555556,52.8,38.352535,-120.7672,968.776666666667,0.321,0.745222222222222,0.906222222222222,0.745222222222222,1.61193644444444,14.1666666666667,0.47743621678389
"277850","2019-01-15 05:00:00",8056,57.7111111111111,50.8444444444444,38.352535,-120.7672,968.393863636364,0.190919191919192,0.521747474747475,0.658484848484848,0.521747474747475,1.66144901010101,14.2083333333333,0.507690119266064
"278665","2019-01-15 06:00:00",8056,58,49.2666666666667,38.352535,-120.7672,968.682222222222,0.153555555555556,0.19,0.288888888888889,0.19,1.62204,14.25,0.4836846163016
"279478","2019-01-15 07:00:00",8056,58.3777777777778,47.9333333333333,38.352535,-120.7672,968.576222222222,0.13,0.0828888888888889,0.217333333333333,0.0828888888888889,1.67951377777778,14.2916666666667,0.518504333536282
"280292","2019-01-15 08:00:00",8056,59,46.6,38.352535,-120.7672,968.637954545455,0.0749191919191919,0.0881641414141414,0.205664141414141,0.0881641414141414,1.79587801010101,14.3333333333333,0.585494044466787
"281099","2019-01-15 09:00:00",8056,58.8409090909091,50.3636363636364,38.352535,-120.7672,969.178888888889,0.0186666666666667,0.120694444444444,0.217252525252525,0.120694444444444,1.49226207070707,14.375,0.400293136964763
"281910","2019-01-15 10:00:00",8056,59,52,38.352535,-120.7672,969.16825,0.0405,0.118291666666667,0.318125,0.118291666666667,1.35158483333333,14.4166666666667,0.301277854526417
"282715","2019-01-15 11:00:00",8056,59,52.6744186046512,38.352535,-120.7672,968.296,0.386284237726098,0.713984496124031,0.919403100775194,0.713984496124031,1.60626741085271,14.4583333333333,0.473913109044022
"283517","2019-01-15 12:00:00",8056,58.9777777777778,53.6666666666667,38.352535,-120.7672,967.136744186046,0.188767441860465,0.337227390180879,0.467837209302326,0.337227390180879,1.32430715245478,14.5,0.280889418868599
"284307","2019-01-15 13:00:00",8056,58.8181818181818,54.1363636363636,38.352535,-120.7672,966.152045454545,0.118636363636364,0.280227272727273,0.46125,0.280227272727273,1.25442090909091,14.5416666666667,0.226674039074345
"285085","2019-01-15 14:00:00",8056,58.8222222222222,53.7111111111111,38.352535,-120.7672,965.404,0.169222222222222,0.374111111111111,0.490333333333333,0.374111111111111,1.33984755555556,14.5833333333333,0.292555842980371
"285861","2019-01-15 15:00:00",8056,59.6888888888889,50.9111111111111,38.352535,-120.7672,964.490222222222,0.238777777777778,0.442777777777778,0.551666666666667,0.442777777777778,1.61438888888889,14.625,0.478956488091597
"286629","2019-01-15 16:00:00",8056,58.8888888888889,53.7111111111111,38.352535,-120.7672,964.446363636364,0.157906565656566,0.234545454545455,0.287742424242424,0.234545454545455,1.26671515151515,14.6666666666667,0.236427054843626
"287380","2019-01-15 17:00:00",8056,58.3333333333333,54.3777777777778,38.352535,-120.7672,964.304545454545,1.53337878787879,1.67259090909091,1.1859696969697,1.67259090909091,1.96345096969697,14.7083333333333,0.674703623854259
"288119","2019-01-15 18:00:00",8056,57.9777777777778,56.2888888888889,38.352535,-120.7672,964.563111111111,2.525,1.11122222222222,1.15944444444444,1.11122222222222,1.50646711111111,14.75,0.409767248026387
"288868","2019-01-15 19:00:00",8056,56.7555555555556,59.5111111111111,38.352535,-120.7672,965.301777777778,2.49688888888889,0.235222222222222,0.249,0.235222222222222,0.772909777777778,14.7916666666667,-0.257592954182379
"289605","2019-01-15 20:00:00",8056,56.1111111111111,63.2,38.352535,-120.7672,966.732045454545,1.26,0.262386363636364,0.397664141414141,0.262386363636364,0.472850454545454,14.8333333333333,-0.748976104232183
"290348","2019-01-15 21:00:00",8056,57,63.9555555555556,38.352535,-120.7672,968.528444444444,1.26,0.179222222222222,0.305555555555556,0.179222222222222,0.364899111111111,14.875,-1.00813437152212
"291069","2019-01-15 22:00:00",8056,57.5777777777778,63.9333333333333,38.352535,-120.7672,969.914,0.246,0.255555555555556,0.242222222222222,0.255555555555556,0.406791111111111,14.9166666666667,-0.899455465805778
