,...1,Date_Hour,ID,temp,humidity,Latitude,Longitude,Pressure,PM1.0,PM2.5,PM10.0,PM2.5ATM,corrected_PM2.5,logPM2.5
239,273628,1/15/19,3791,53,76.28888889,38.13427,-122.19782,1000.555111,8.653111111,11.39677778,12.07666667,11.39677778,5.192098222,1.647137897
240,273477,1/15/19,20951,56.93333333,54.26666667,37.799267,-122.194664,997.9868889,0.115,0.211222222,0.324333333,0.211222222,1.207160444,0.188270862
241,273650,1/15/19,4339,56.02222222,56.15555556,37.90827,-122.193504,987.0468889,2.342222222,3.101888889,3.307666667,3.101888889,2.560936444,0.94037299
242,273107,1/15/19,14059,57,61.84444444,38.830544,-122.19327,1000.776889,12.37988889,20.59877778,22.03066667,19.84222222,10.84817778,2.383997119
243,273762,1/15/19,7966,54.97777778,69.06666667,39.53165,-122.19201,1009.485111,11.33022222,15.91922222,17.86722222,15.91922222,8.177192444,2.10134887
244,273154,1/15/19,15113,54.93333333,65.75555556,37.901512,-122.19199,994.5877778,7.39,10.00811111,10.74433333,10.00811111,5.361876889,1.67931408
245,273467,1/15/19,20743,55.13333333,64.95555556,37.79674,-122.19159,987.2942222,10.11011111,16.11522222,17.10288889,16.11522222,8.630163111,2.155263405
246,273297,1/15/19,1872,55.77777778,66.44444444,38.10359,-122.188705,995.8475556,11.60822222,15.63055556,17.05911111,15.63055556,8.249344444,2.110133736
247,273168,1/15/19,15645,61.23913043,48.10869565,37.80103,-122.18855,995.4548889,0.218888889,0.190900966,0.335123188,0.190900966,1.721171237,0.543005011
248,273629,1/15/19,3846,56,65.93333333,39.744804,-122.18415,1006.361778,10.42544444,13.29277778,14.00544444,13.29277778,7.067895556,1.955562777
249,273374,1/15/19,19391,55.7,61.1,37.460953,-122.17907,1009.864737,0.2,0.102,0.177947368,0.102,0.567728,-0.566112848
250,273634,1/15/19,3939,52.95555556,76.42222222,38.07453,-122.17372,998.6797778,13.86566667,17.65144444,18.73466667,17.65144444,8.458183556,2.135134441
251,273779,1/15/19,8076,56,64.81081081,39.934937,-122.173294,1003.107059,14.13375596,21.65620429,25.79005167,21.51551669,11.47224967,2.439931047
252,273143,1/15/19,14885,54.77777778,62.84444444,37.87395,-122.16776,986.0035556,3.653333333,5.001444444,5.366,5.001444444,2.986410222,1.094072072
253,273513,1/15/19,22037,54.02222222,64.88888889,37.415478,-122.16677,1005.814222,0.101,0.168777778,0.307555556,0.168777778,0.279906222,-1.273300653
254,273540,1/15/19,22963,57,54.13333333,37.46546,-122.164696,1010.133333,0.154444444,0.177444444,0.256111111,0.177444444,1.200820889,0.183005397
255,273389,1/15/19,19509,56.92857143,56.5,37.7707,-122.1643,996.9211111,0.195611111,0.510666667,0.617126984,0.510666667,1.173789333,0.160237262
256,273355,1/15/19,19293,59.17647059,52,37.44948,-122.16416,1010.6265,0.113125,0.180735294,0.291507353,0.180735294,1.384305294,0.325198421
257,273473,1/15/19,20857,57.73333333,57.57777778,37.41176,-122.16199,1006.637111,0.187333333,0.139444444,0.212777778,0.139444444,0.887442222,-0.119411861
258,273453,1/15/19,20473,58.4,55.4,37.471367,-122.16119,1011.202889,0.556,0.780666667,1.087666667,0.780666667,1.408989333,0.342872663
259,273330,1/15/19,19054,55.44444444,64.06666667,37.415962,-122.15807,1008.294889,0.030333333,0.182666667,0.316111111,0.182666667,0.357237333,-1.029354919
260,273407,1/15/19,19669,53.6,68.53333333,37.050602,-122.15799,963.8884444,0.627333333,1.496777778,2.031444444,1.496777778,0.665271556,-0.407559967
261,273443,1/15/19,20187,53.93333333,68.66666667,38.055035,-122.157684,1010.252727,14.20044697,19.41411111,20.20866162,19.41411111,10.04259422,2.30683547
262,273056,1/15/19,11990,55.55555556,63.57777778,38.058086,-122.157555,1005.853556,12.44244444,17.41222222,18.66122222,17.41222222,9.427177778,2.243596771
263,273653,1/15/19,4389,56.30769231,53.28205128,37.846275,-122.15729,990.4307317,7.711482176,10.04197311,10.75981551,10.02838336,6.435242114,1.861789465
264,273200,1/15/19,16137,62,52.36363636,37.441467,-122.1553,1010.573636,0.174886364,0.255227273,0.313409091,0.255227273,1.392357273,0.33099819
265,273196,1/15/19,16073,59.8,56.53333333,37.44796,-122.14682,1010.233556,0.232333333,0.213888889,0.247222222,0.213888889,1.015437778,0.015319828
266,273201,1/15/19,16149,62.47368421,52.21052632,37.445305,-122.14617,1011.8755,0.245815789,0.479138158,0.555223684,0.479138158,1.522731553,0.420505796
267,273055,1/15/19,11988,58,55.33333333,38.05897,-122.141785,1007.214878,11.33170732,14.66463415,15.32617886,14.66463415,8.689868293,2.162157783
268,273435,1/15/19,20141,59,60.20930233,37.412426,-122.141785,1010.488444,0.061860465,0.258839793,0.404041344,0.258839793,0.725799494,-0.320481482
269,273046,1/15/19,11848,44.17777778,45.73333333,41.251923,-122.13784,901.8217778,33.72944444,53.25966667,58.358,47.90466667,26.92556533,3.293076219
270,273197,1/15/19,16085,59,59.02222222,37.415165,-122.136856,1011.507955,0.095,0.153176768,0.313262626,0.153176768,0.771571293,-0.259326203
271,273494,1/15/19,21431,58.91111111,53,37.440514,-122.135735,1011.535778,0.091333333,0.183111111,0.272888889,0.183111111,1.300350222,0.26263363
272,273431,1/15/19,20115,61.11111111,50.35555556,37.41182,-122.13171,1010.372444,0.150222222,0.199666667,0.309666667,0.199666667,1.534332,0.428095107
273,273288,1/15/19,18539,56,56.75555556,37.752743,-122.13086,989.7246667,0.168333333,0.480555556,0.616555556,0.480555556,1.136237778,0.12772261
274,273500,1/15/19,21465,58.86666667,50.13333333,37.714626,-122.129845,1006.561778,0.300111111,0.735777778,0.945444444,0.735777778,1.834187556,0.606601634
275,273151,1/15/19,15049,60.91111111,52.46666667,37.43597,-122.12982,1011.636222,0.197333333,0.174555556,0.214777778,0.174555556,1.341307111,0.293644595
276,273458,1/15/19,20573,48.97727273,68.77272727,37.2462,-122.12806,933.7729545,0.220113636,0.505,0.722727273,0.505,0.125183636,-2.077973529
277,273496,1/15/19,21439,56,57.23076923,37.416588,-122.127785,1011.287941,0.159049774,0.239739819,0.350995475,0.239739819,0.969562127,-0.030910725
278,273340,1/15/19,19185,60.91111111,52,37.449074,-122.12741,1012.186667,0.110111111,0.329777778,0.468666667,0.329777778,1.462403556,0.380081353
279,273157,1/15/19,15235,57,58.35555556,37.884678,-122.12302,993.776,6.353555556,9.545444444,10.198,9.545444444,5.749919556,1.749185864
280,273666,1/15/19,4606,54.09302326,61.6744186,37.28064,-122.11939,973.4131818,7.804830867,11.8172278,13.6083166,10.50682082,5.970913647,1.786899955
281,273403,1/15/19,19633,70,40.71111111,37.40195,-122.11873,1009.125111,0.696555556,1.149888889,1.315444444,1.149888889,2.853955111,1.048705791
282,273367,1/15/19,19353,58,56,37.413406,-122.111855,1011.478444,0.133777778,0.187222222,0.268333333,0.187222222,1.046904444,0.045837662
283,273337,1/15/19,19157,59.95555556,55.88888889,37.420197,-122.10943,1011.473111,0.134666667,0.269222222,0.388,0.269222222,1.099339111,0.094709191
284,273098,1/15/19,13201,55.92105263,62.63157895,37.883785,-122.10053,997.2955556,15.13872515,21.73779532,23.63633041,21.7360848,11.77349791,2.465851065
285,273492,1/15/19,21423,52.37931034,62.17241379,37.298008,-122.09865,964.1651724,0.065517241,0.210344828,0.419137931,0.210344828,0.533131034,-0.628988042
286,273279,1/15/19,18495,61.2,52.91111111,37.40276,-122.097115,1008.809556,14.15911111,14.83622222,16.164,13.42577778,8.247080889,2.109859306
287,273033,1/15/19,10734,54,57,37.876072,-122.09671,1000.852444,10.43977778,14.98488889,16.73788889,14.98488889,8.715681778,2.165123906
288,273150,1/15/19,15037,53.6,65.95555556,37.87834,-122.096375,1000.378444,11.92511111,17.48688889,19.03544444,17.48688889,9.263716444,2.226105312
289,273272,1/15/19,18453,51.97777778,64.04444444,37.90381,-122.09429,1000.314222,6.800555556,9.265333333,9.567777778,9.265333333,5.118448,1.632851268
290,273512,1/15/19,22035,54.44444444,57.33333333,37.337196,-122.09089,1000.498,0.113444444,0.383777778,0.646,0.383777778,1.036299556,0.035656248
291,273126,1/15/19,14361,54,60.57777778,37.864353,-122.09053,996.1615556,0.460777778,0.855444444,0.951444444,0.855444444,1.007026222,0.007001653
292,273275,1/15/19,18471,59.53333333,54.13333333,37.38584,-122.09025,1008.53,0.150888889,0.274888889,0.434666667,0.274888889,1.251881778,0.224647842
293,273217,1/15/19,17101,57.77777778,58.07407407,37.373795,-122.08826,1007.672,0.036217593,0.24612037,0.379828704,0.24612037,0.901055963,-0.104187911
294,273331,1/15/19,19065,58,57.46666667,37.35704,-122.08806,1005.347333,0.855333333,2.353888889,2.749444444,2.353888889,2.057277778,0.721383642
295,273302,1/15/19,18755,54,63.97777778,37.90689,-122.079575,996.2402222,4.507444444,6.495,6.926888889,6.495,3.672473333,1.300865368
296,273245,1/15/19,17954,57,57.91111111,37.3648,-122.07865,1006.608889,0.045,0.214777778,0.318444444,0.214777778,0.898516889,-0.107009776
297,273360,1/15/19,19317,60,53.84444444,37.397396,-122.07755,1009.650667,0.154444444,0.378333333,0.525666667,0.378333333,1.3307,0.28570512
298,273438,1/15/19,20165,57.91111111,56.17777778,37.386166,-122.07257,1009.322667,0.214555556,0.270333333,0.436555556,0.270333333,1.075308,0.072607132
299,273300,1/15/19,18737,56.97777778,58.15555556,37.312504,-122.07081,995.7468889,0.083333333,0.259888889,0.495666667,0.259888889,0.901328444,-0.103885555
300,273230,1/15/19,17811,52.57777778,67,37.879253,-122.07067,1001.732667,20.46633333,28.77755556,30.417,28.36377778,14.87421956,2.699629483
301,273444,1/15/19,20189,75.66666667,39,37.395306,-122.07054,1009.831,0.98875,1.646583333,1.873291667,1.646583333,3.260009667,1.181730161
302,273111,1/15/19,14091,56.97777778,56.22222222,37.88362,-122.07008,999.8782222,14.03855556,20.13522222,21.10488889,20.13522222,11.48072311,2.440669378
303,273603,1/15/19,2883,59,55,37.59633,-122.06967,1012.399722,1.591944444,2.271944444,3.453055556,2.271944444,2.224498889,0.799531672
304,273516,1/15/19,22053,57.91111111,53.84444444,37.342854,-122.06888,1004.363556,0.106888889,0.365,0.476,0.365,1.323713333,0.280440918
305,273637,1/15/19,4008,53.88888889,72.37777778,37.08376,-122.06868,991.5293333,0.661666667,1.307,1.741444444,1.307,0.238281333,-1.434303231
306,273348,1/15/19,19257,56,67.26086957,37.06196,-122.06754,991.7187097,0.539095372,1.282328191,1.931886396,1.282328191,0.661313885,-0.413526688
307,273323,1/15/19,19025,55.63636364,60.36363636,37.709976,-122.0668,998.5353333,0.825424242,1.251570707,1.344434343,1.251570707,1.232841232,0.209321451
308,273304,1/15/19,18793,58.51111111,55.22222222,37.576885,-122.06559,1011.954222,1.758555556,2.574666667,2.734888889,2.574666667,2.364192,0.860436315
309,273607,1/15/19,2916,58.29268293,57.56097561,37.362175,-122.06556,1005.41907,0.088780488,0.121857629,0.206281906,0.121857629,0.879658276,-0.12822177
310,273081,1/15/19,12811,80.26666667,41,37.40637,-122.06243,1009.771333,0.152222222,0.239111111,0.274555556,0.239111111,2.352094222,0.85530609
311,273602,1/15/19,2858,56.85,66.35,37.324482,-122.062096,999.4395349,0.287575581,0.421218023,0.564976744,0.421218023,0.287698244,-1.245843111
312,273667,1/15/19,4610,55.93333333,56.08888889,37.303524,-122.061966,985.0155556,0.041777778,0.260666667,0.452111111,0.260666667,1.077816,0.074936771
313,273287,1/15/19,18531,57,58,37.33028,-122.06036,1003.294222,0.225666667,0.475333333,0.567,0.475333333,1.027474667,0.027104012
314,273373,1/15/19,19389,58.28571429,55,37.362667,-122.059845,1006.331556,0.064,0.291,0.556031746,0.291,1.186484,0.170994312
315,273090,1/15/19,13021,58,50.36,37.32555,-122.05785,1000.538,0.2062,0.4002,0.4746,0.4002,1.6390328,0.494106312
316,273396,1/15/19,19581,54.17777778,61.28888889,37.899223,-122.05177,1007.142444,24.11244444,35.139,37.72322222,34.57066667,18.613216,2.923871866
317,273413,1/15/19,19719,54,72.06666667,37.085358,-122.04737,999.4017778,16.07333333,27.39244444,30.99855556,27.117,13.789228,2.623887708
318,273383,1/15/19,19479,55.77777778,56.48888889,37.6826,-122.04551,994.4197727,0.075611111,0.26155303,0.360994949,0.26155303,1.044200455,0.043251477
319,273395,1/15/19,19571,51.66666667,68.17777778,37.868946,-122.04391,1004.845556,15.55733333,21.80977778,23.67722222,21.80977778,11.33957689,2.428298986
320,273507,1/15/19,21887,56.15555556,67.48888889,36.967365,-122.04289,1009.701364,0.465967172,1.334570707,1.830967172,1.334570707,0.669261717,-0.401580089
321,273649,1/15/19,4333,58.68181818,49.36363636,37.26342,-122.04283,986.992093,0.239260042,0.184534884,0.290465116,0.184534884,1.610914461,0.476802006
322,273327,1/15/19,19047,59,53.91111111,37.36093,-122.040825,1006.516889,0.124111111,0.195111111,0.296222222,0.195111111,1.229011556,0.206210233
323,273291,1/15/19,18553,60.08888889,57.93333333,37.522003,-122.03948,1011.691556,0.523333333,1,1.195222222,1,1.30808,0.268560413
324,273370,1/15/19,19379,56.8,65.77777778,38.500465,-122.03456,1004.003556,12.93777778,18.18011111,19.15288889,18.18011111,9.642111556,2.266140126
325,273651,1/15/19,4355,60.86666667,56,36.968536,-122.03402,1010.765556,0.472333333,1.056666667,1.602,1.056666667,1.502493333,0.40712595
326,273826,1/15/19,8988,58,50.22222222,38.0285,-122.0302,1012.290889,1.838777778,2.611444444,2.824333333,2.611444444,2.809463556,1.03299356
327,273498,1/15/19,21449,74.15555556,36,37.268364,-122.029854,994.7495556,0.13,0.170555556,0.222333333,0.170555556,2.742171111,1.008749983
328,273633,1/15/19,3926,55.2,68.55555556,37.03969,-122.02973,992.2917778,0.488222222,0.971111111,1.204777778,0.971111111,0.387928889,-0.946933232
329,273264,1/15/19,18399,55.86666667,67.88888889,37.016155,-122.02962,993.5068889,0.448444444,1.294888889,2.201,1.294888889,0.614388444,-0.487127905
330,273400,1/15/19,19613,55.73170732,52.24390244,37.65457,-122.028694,976.8178049,0.010731707,0.117439024,0.291585366,0.117439024,1.330357561,0.285447749
331,273316,1/15/19,18987,56,61,37.5625,-122.0281,1010.822955,2.270373737,3.455755051,3.865075758,3.455755051,2.333615646,0.847418844
332,273382,1/15/19,19463,58.78571429,58.92857143,36.97847,-122.02638,1011.834333,0.600642857,1.580952381,2.230904762,1.580952381,1.527704762,0.423766453
333,273423,1/15/19,19993,58.17241379,54.89655172,37.33029,-122.0262,1005.328077,0.131193634,0.331518568,0.526346154,0.331518568,1.216529523,0.196002151
334,273654,1/15/19,4391,58.51111111,55.97777778,38.300407,-122.0245,1008.742889,10.65077778,13.91033333,14.79666667,13.91033333,8.239708,2.108964906
335,273037,1/15/19,11332,56.13953488,42.93023256,40.68506,-122.02371,956.6655814,5.414418605,7.230348837,8.009302326,7.230348837,5.851046977,1.766620616
336,273686,1/15/19,5151,55.06666667,55.77777778,37.86313,-122.02302,999.9286667,11.618,15.48611111,16.83944444,15.48611111,9.082455556,2.206344592
337,273647,1/15/19,4299,57,57.11111111,37.2747,-122.0229,999.7364444,0.154666667,0.344444444,0.475666667,0.344444444,1.034622222,0.034036357
338,273235,1/15/19,17839,52.28888889,69.28888889,37.852924,-122.022514,1002.505778,6.188888889,8.510444444,9.202222222,8.510444444,4.276059556,1.453031921
339,273338,1/15/19,19167,57.92307692,59.53846154,37.332573,-122.01745,1005.132222,0.111846154,0.26591453,0.358700855,0.26591453,0.786662291,-0.239956232
340,273286,1/15/19,18527,54,62.73333333,37.849895,-122.01644,996.5748889,1.621888889,2.897666667,3.321,2.897666667,1.893497333,0.63842556
341,273670,1/15/19,4658,57,55.76666667,37.969025,-122.015884,1009.064,15.19833333,19.87994444,21.84111111,19.87994444,11.38577089,2.432364408
342,273240,1/15/19,17895,59.68888889,58.48888889,37.538063,-122.01384,1011.704889,2.041555556,2.954444444,3.243222222,2.954444444,2.284875556,0.826311561
343,273700,1/15/19,5650,58.64444444,56.64444444,36.981,-122.012,1009.874444,0.525777778,1.076222222,1.452,1.076222222,1.457833778,0.37695162
344,273260,1/15/19,18299,57.02222222,61.75555556,37.251064,-122.0113,992.0713333,0.184111111,0.419777778,0.568333333,0.419777778,0.678390222,-0.388032608
345,273140,1/15/19,14767,52,62.31111111,37.913525,-122.01049,1006.301333,10.89877778,15.74788889,16.81566667,15.74788889,8.662987111,2.159059595
346,273530,1/15/19,22461,56,58.30555556,37.31356,-122.00889,1006.138333,0.120138889,0.320138889,0.406527778,0.320138889,0.920119444,-0.083251786
347,273268,1/15/19,18435,54.2,62.84444444,37.96231,-122.00711,1007.563556,17.38511111,24.28022222,24.73744444,24.25555556,13.07556444,2.570745179
348,273402,1/15/19,19627,62,47,37.25814,-121.995705,997.0477778,0.104666667,0.233666667,0.375777778,0.233666667,1.838041333,0.608700512
349,273409,1/15/19,19691,54.59090909,65.34090909,37.1974,-121.99481,988.2604545,0.903636364,1.182272727,1.529886364,1.182272727,0.772465455,-0.25816799
350,273457,1/15/19,20565,56.15909091,59.88636364,37.536236,-121.9931,1010.88413,3.319357708,5.396704545,6.002297431,5.396704545,3.445555,1.237084995
351,273449,1/15/19,20217,59,56,37.358116,-121.992065,1010.297556,0.181507576,0.547921717,0.963075758,0.547921717,1.23591098,0.211808334
