"","ID","Date.Local","Latitude","Longitude","t","PM2.5"
"188","6_1_9","1/1/19",37.743065,-122.169935,0.958333333,7
"189","6_1_9","1/2/19",37.743065,-122.169935,1,7
"190","6_1_9","1/2/19",37.743065,-122.169935,1.041666667,5
"191","6_1_9","1/2/19",37.743065,-122.169935,1.083333333,3
"192","6_1_9","1/2/19",37.743065,-122.169935,1.125,5
"193","6_1_9","1/2/19",37.743065,-122.169935,1.166666667,4
"194","6_1_9","1/2/19",37.743065,-122.169935,1.208333333,2
"195","6_1_9","1/2/19",37.743065,-122.169935,1.25,4
"196","6_1_9","1/2/19",37.743065,-122.169935,1.291666667,6
"197","6_1_9","1/2/19",37.743065,-122.169935,1.333333333,6
"198","6_1_9","1/2/19",37.743065,-122.169935,1.375,12
"199","6_1_9","1/2/19",37.743065,-122.169935,1.416666667,7
"200","6_1_9","1/2/19",37.743065,-122.169935,1.458333333,3
"201","6_1_9","1/2/19",37.743065,-122.169935,1.5,8
"202","6_1_9","1/2/19",37.743065,-122.169935,1.541666667,7
"203","6_1_9","1/2/19",37.743065,-122.169935,1.583333333,5
"204","6_1_9","1/2/19",37.743065,-122.169935,1.625,8
"205","6_1_9","1/2/19",37.743065,-122.169935,1.666666667,9
"206","6_1_9","1/2/19",37.743065,-122.169935,1.708333333,15
"207","6_1_9","1/2/19",37.743065,-122.169935,1.75,20
"208","6_1_9","1/2/19",37.743065,-122.169935,1.791666667,12
"209","6_1_9","1/2/19",37.743065,-122.169935,1.833333333,11
"210","6_1_9","1/2/19",37.743065,-122.169935,1.875,9
"211","6_1_9","1/2/19",37.743065,-122.169935,1.916666667,16
"212","6_1_9","1/2/19",37.743065,-122.169935,1.958333333,12
"213","6_1_9","1/3/19",37.743065,-122.169935,2,9
"214","6_1_9","1/3/19",37.743065,-122.169935,2.041666667,10
"215","6_1_9","1/3/19",37.743065,-122.169935,2.083333333,8
"216","6_1_9","1/3/19",37.743065,-122.169935,2.125,9
"217","6_1_9","1/3/19",37.743065,-122.169935,2.166666667,9
"218","6_1_9","1/3/19",37.743065,-122.169935,2.208333333,11
"219","6_1_9","1/3/19",37.743065,-122.169935,2.25,13
"220","6_1_9","1/3/19",37.743065,-122.169935,2.291666667,14
"221","6_1_9","1/3/19",37.743065,-122.169935,2.333333333,10
"222","6_1_9","1/3/19",37.743065,-122.169935,2.375,15
"223","6_1_9","1/3/19",37.743065,-122.169935,2.416666667,14
"224","6_1_9","1/3/19",37.743065,-122.169935,2.458333333,13
"225","6_1_9","1/3/19",37.743065,-122.169935,2.5,13
"226","6_1_9","1/3/19",37.743065,-122.169935,2.541666667,13
"227","6_1_9","1/3/19",37.743065,-122.169935,2.583333333,20
"228","6_1_9","1/3/19",37.743065,-122.169935,2.625,19
"229","6_1_9","1/3/19",37.743065,-122.169935,2.666666667,25
"230","6_1_9","1/3/19",37.743065,-122.169935,2.708333333,22
"231","6_1_9","1/3/19",37.743065,-122.169935,2.75,29
"232","6_1_9","1/3/19",37.743065,-122.169935,2.791666667,23
"233","6_1_9","1/3/19",37.743065,-122.169935,2.833333333,28
"234","6_1_9","1/3/19",37.743065,-122.169935,2.875,24
"235","6_1_9","1/3/19",37.743065,-122.169935,2.916666667,23
"236","6_1_9","1/3/19",37.743065,-122.169935,2.958333333,24
"237","6_1_9","1/4/19",37.743065,-122.169935,3,25
"238","6_1_9","1/4/19",37.743065,-122.169935,3.041666667,27
"239","6_1_9","1/4/19",37.743065,-122.169935,3.083333333,23
"240","6_1_9","1/4/19",37.743065,-122.169935,3.125,21
"241","6_1_9","1/4/19",37.743065,-122.169935,3.166666667,23
"242","6_1_9","1/4/19",37.743065,-122.169935,3.208333333,26
"243","6_1_9","1/4/19",37.743065,-122.169935,3.25,23
"244","6_1_9","1/4/19",37.743065,-122.169935,3.291666667,23
"245","6_1_9","1/4/19",37.743065,-122.169935,3.333333333,28
"246","6_1_9","1/4/19",37.743065,-122.169935,3.375,28
"247","6_1_9","1/4/19",37.743065,-122.169935,3.416666667,24
"248","6_1_9","1/4/19",37.743065,-122.169935,3.458333333,19
"249","6_1_9","1/4/19",37.743065,-122.169935,3.5,31
"250","6_1_9","1/4/19",37.743065,-122.169935,3.541666667,25
"251","6_1_9","1/4/19",37.743065,-122.169935,3.583333333,19
"252","6_1_9","1/4/19",37.743065,-122.169935,3.625,8
"253","6_1_9","1/4/19",37.743065,-122.169935,3.666666667,10
"254","6_1_9","1/4/19",37.743065,-122.169935,3.708333333,23
"255","6_1_9","1/4/19",37.743065,-122.169935,3.75,36
"256","6_1_9","1/4/19",37.743065,-122.169935,3.791666667,38
"257","6_1_9","1/4/19",37.743065,-122.169935,3.833333333,41
"258","6_1_9","1/4/19",37.743065,-122.169935,3.875,34
"259","6_1_9","1/4/19",37.743065,-122.169935,3.916666667,28
"260","6_1_9","1/4/19",37.743065,-122.169935,3.958333333,10
"261","6_1_9","1/5/19",37.743065,-122.169935,4,12
"262","6_1_9","1/5/19",37.743065,-122.169935,4.041666667,12
"263","6_1_9","1/5/19",37.743065,-122.169935,4.083333333,7
"264","6_1_9","1/5/19",37.743065,-122.169935,4.125,6
"265","6_1_9","1/5/19",37.743065,-122.169935,4.166666667,5
"266","6_1_9","1/5/19",37.743065,-122.169935,4.208333333,3
"267","6_1_9","1/5/19",37.743065,-122.169935,4.25,2
"268","6_1_9","1/5/19",37.743065,-122.169935,4.291666667,3
"269","6_1_9","1/5/19",37.743065,-122.169935,4.333333333,4
"270","6_1_9","1/5/19",37.743065,-122.169935,4.375,2
"271","6_1_9","1/5/19",37.743065,-122.169935,4.416666667,1
"272","6_1_9","1/5/19",37.743065,-122.169935,4.458333333,4
"273","6_1_9","1/5/19",37.743065,-122.169935,4.5,3
"274","6_1_9","1/5/19",37.743065,-122.169935,4.541666667,1e-04
"275","6_1_9","1/5/19",37.743065,-122.169935,4.583333333,1
"276","6_1_9","1/5/19",37.743065,-122.169935,4.625,3
"277","6_1_9","1/5/19",37.743065,-122.169935,4.666666667,3
"278","6_1_9","1/5/19",37.743065,-122.169935,4.708333333,7
"279","6_1_9","1/5/19",37.743065,-122.169935,4.75,8
"280","6_1_9","1/5/19",37.743065,-122.169935,4.791666667,6
"281","6_1_9","1/5/19",37.743065,-122.169935,4.833333333,6
"282","6_1_9","1/5/19",37.743065,-122.169935,4.875,6
"283","6_1_9","1/5/19",37.743065,-122.169935,4.916666667,8
"284","6_1_9","1/5/19",37.743065,-122.169935,4.958333333,8
"285","6_1_9","1/6/19",37.743065,-122.169935,5,8
"286","6_1_9","1/6/19",37.743065,-122.169935,5.041666667,5
"287","6_1_9","1/6/19",37.743065,-122.169935,5.083333333,5
"288","6_1_9","1/6/19",37.743065,-122.169935,5.125,6
"289","6_1_9","1/6/19",37.743065,-122.169935,5.166666667,4
"290","6_1_9","1/6/19",37.743065,-122.169935,5.208333333,5
"291","6_1_9","1/6/19",37.743065,-122.169935,5.25,6
